Index,Gx,Gy,Gz
0,-137,-1085,-102
1,-129,-849,-124
2,-93,-479,311
3,-5,-591,-95
4,411,-518,-245
5,561,-668,-326
6,207,-525,-412
7,353,115,-239
8,957,-50,-583
9,1005,-204,-652
10,765,146,-398
11,987,-50,-612
12,903,322,-511
13,609,275,-658
14,627,760,-570
15,651,886,-184
16,355,1337,-64
17,551,1985,232
18,563,2945,212
19,973,4368,136
20,1037,5417,-244
21,1503,6447,-352
22,2053,7043,-633
23,2397,6964,-381
24,2441,6979,-573
25,2541,7406,-260
26,1837,7861,-220
27,2137,8002,-560
28,1721,9420,-393
29,1655,10188,-445
30,1821,10970,-275
31,2113,10521,-428
32,2487,10135,-630
33,3013,9826,-384
34,2845,9170,-155
35,2373,8533,78
36,2479,8794,-304
37,1987,8164,-484
38,769,8133,-333
39,253,7483,-618
40,451,7110,-520
41,189,6498,-404
42,137,6594,-496
43,-41,7649,258
44,-19,8625,187
45,-3,9057,9
46,-239,9589,-33
47,-119,10191,238
48,-419,10747,584
49,-41,10396,645
50,-349,8899,459
51,-135,7273,360
52,-7,6080,419
53,-97,5236,676
54,-395,4984,558
55,-369,5695,890
56,545,6105,1091
57,1615,5934,694
58,1905,5623,562
59,2111,5426,367
60,1185,6334,662
61,-371,6967,626
62,-1373,6598,652
63,-1895,5802,606
64,-1659,4253,-170
65,-789,2772,-804
66,219,1346,-1198
67,799,299,-1369
68,1929,-478,-1255
69,2011,-796,-1487
70,1525,-1168,-1345
71,619,-1747,-888
72,-357,-2257,-1215
73,-607,-3388,-1044
74,-1749,-5043,-680
75,-1889,-7320,-1037
76,-2259,-9823,-1215
77,-1791,-12088,-1227
78,-1651,-14613,-1400
79,-1889,-16621,-1417
80,-1631,-17759,-1657
81,-1539,-18883,-1398
82,-1375,-19594,-1299
83,-919,-20382,-1020
84,-1033,-20803,-336
85,-1241,-20705,102
86,-1211,-19585,263
87,-635,-18250,755
88,-557,-17228,495
89,-467,-16960,318
90,-657,-16039,317
91,-563,-15121,-100
92,-403,-14375,-558
93,-251,-14002,-528
94,-363,-13915,-621
95,-177,-14265,-674
96,209,-14650,-16
97,203,-15050,681
98,-217,-15179,689
99,107,-16146,692
100,-23,-17360,637
101,-311,-19680,-10
102,-233,-21150,-608
103,-247,-21501,-967
104,569,-21100,-1124
105,327,-19493,-1451
106,691,-18448,-1316
107,883,-17292,-1307
108,609,-17178,-1695
109,401,-16782,-1500
110,43,-15311,-871
111,-273,-14681,-1542
112,-277,-14439,-1490
113,-121,-14531,-1340
114,-127,-15246,-1730
115,-565,-16959,-2646
116,-629,-17581,-2873
117,-443,-16591,-3109
118,-79,-13965,-2761
119,327,-10918,-2517
120,1021,-8298,-1369
121,799,-6607,-856
122,1151,-5480,-1008
123,1481,-4642,-512
124,1345,-3370,-702
125,1479,-2441,-613
126,1341,-2601,-1034
127,2017,-1904,-1102
128,1885,-786,-1041
129,1991,274,-649
130,1507,1506,-218
131,253,3299,-242
132,-217,4854,226
133,-487,6256,120
134,-1029,7331,210
135,-1397,8043,270
136,-1307,9115,626
137,-791,10908,754
138,-131,12980,401
139,-309,14253,549
140,67,14731,778
141,-321,14849,566
142,-411,14991,596
143,-573,14702,154
144,-1159,15141,-37
145,-1305,15224,86
146,-1027,15972,-323
147,-1111,15973,-277
148,-861,15322,-968
149,-871,15595,-438
150,-371,15958,-256
151,-387,16507,-374
152,393,16892,-702
153,487,18099,-771
154,703,18637,-1122
155,1587,18996,-1438
156,1337,18985,-1689
157,2053,17692,-1926
158,1637,16379,-2202
159,783,15095,-1882
160,495,13598,-1293
161,-473,12285,-768
162,-1251,12369,-35
163,-1707,12475,777
164,-1679,12424,808
165,-2445,12389,816
166,-2423,12141,609
167,-1989,11713,452
168,-1437,11814,300
169,-1033,11821,271
170,83,11434,-263
171,557,10856,-652
172,499,10564,-654
173,377,10644,-345
174,221,10252,-223
175,293,10430,-622
176,489,10593,-1037
177,457,11403,-819
178,275,11548,-650
179,85,12107,-429
180,-299,11903,-476
181,-249,11451,-47
182,231,10238,-161
183,249,9179,180
184,775,8714,192
185,1013,8823,128
186,955,8883,145
187,1041,8424,-31
188,929,7516,301
189,329,7233,253
190,151,6363,-114
191,81,5121,34
192,-67,4122,238
193,-439,2476,270
194,-917,1357,-161
195,-995,-95,-72
196,-839,-656,-77
197,-517,-1611,70
198,-179,-2714,-50
199,153,-4086,-176
200,443,-5167,-609
201,361,-6397,-237
202,671,-8316,-501
