Index,Gx,Gy,Gz
0,194,372,-143
1,-70,-153,-142
2,198,104,-172
3,-52,-162,102
4,198,-142,-156
5,198,-148,118
6,-324,-149,112
7,-54,-152,-142
8,200,-150,-154
9,-62,110,102
10,194,-146,106
11,-64,-152,-148
12,-54,-150,-140
13,-52,-150,-164
14,-58,100,-168
15,-328,111,-160
16,-64,104,98
17,-70,-163,98
18,-84,-157,98
19,202,98,104
20,-60,-142,-158
21,-64,116,-151
22,-70,105,128
23,-326,97,100
24,-78,-157,92
25,-62,-152,-166
26,-54,-156,-166
27,-66,-160,100
28,-60,128,93
29,192,-148,104
30,-56,108,-142
31,196,106,80
32,192,372,99
33,-324,97,104
34,-66,102,-142
35,196,110,120
36,-326,-159,112
37,-58,-148,100
38,190,-152,118
39,-44,-156,-158
40,204,-156,94
41,196,108,108
42,-328,-149,-160
43,-338,111,98
44,190,106,-142
45,198,-150,-144
46,200,-156,-142
47,212,100,-148
48,-56,-146,102
49,-58,100,-148
50,202,110,-138
51,216,108,100
52,198,110,-160
53,-46,374,-151
54,200,372,105
55,-62,104,102
56,-326,-151,-146
57,-328,-149,82
58,-66,378,97
59,196,372,99
60,206,100,-158
61,-64,-162,-154
62,-64,106,92
63,190,98,98
64,-58,-146,110
65,194,-148,-140
66,-324,-149,106
67,-64,-146,-168
68,196,112,82
69,198,-144,92
70,-324,107,86
71,200,110,114
72,190,376,109
73,-60,-142,106
74,194,-146,-152
75,192,-144,102
76,190,108,-158
77,196,100,-138
78,210,102,-134
79,-66,108,94
80,-74,113,-140
81,-68,-155,-142
82,-54,94,82
83,-52,-150,-156
84,198,92,-154
85,-54,108,-144
86,-68,103,-156
87,-70,113,-158
88,190,-146,-168
89,-74,-153,78
90,-70,-149,-166
91,192,-150,-164
92,-324,103,-156
93,-60,-152,90
94,194,108,-146
95,-56,-152,-150
96,200,-152,-152
97,-42,376,101
98,-54,-150,88
99,218,92,88
100,-58,-154,-168
101,-324,95,104
102,194,104,-154
103,208,114,-150
104,196,126,105
105,210,118,113
106,204,-146,132
107,-324,115,114
108,-340,-161,-148
109,-66,110,-166
110,-72,115,-160
111,196,-146,-158
112,-44,-158,104
113,-64,-160,-172
114,194,-160,78
115,200,-150,88
116,200,-164,108
117,-62,-144,-154
118,-78,105,-164
119,-342,103,-160
120,-66,110,-158
121,-326,-153,100
122,-74,-159,-150
123,-330,115,80
124,-62,102,-176
125,-50,104,98
126,192,108,-146
127,-48,-146,-164
128,-332,-153,-152
129,-76,-151,-148
130,-78,85,102
131,192,-164,104
132,-60,-158,102
133,-78,-157,-144
134,202,376,-139
135,-328,-153,-146
136,-66,-156,-140
137,-40,108,124
138,-42,110,104
139,202,104,98
140,192,-150,-156
141,-56,-152,-164
142,196,122,-145
143,198,114,98
144,196,-150,-156
145,192,118,-153
146,202,380,-159
147,-326,-155,86
148,194,108,-152
149,198,374,-151
150,-74,111,-140
151,-78,-147,116
152,-330,95,118
153,-66,90,-136
154,204,-144,102
155,200,102,106
156,-80,-145,392
157,-84,-153,112
158,192,104,-152
159,196,376,-161
160,192,376,105
161,-68,-151,-140
162,200,114,-132
163,202,-154,-152
164,-56,94,80
165,-324,-155,-192
166,-338,103,98
167,196,102,-158
168,-46,106,-148
169,-52,102,92
170,-328,93,102
171,-330,115,116
172,190,372,111
173,-324,373,-151
174,-76,-147,-150
175,202,102,90
176,-58,-158,-160
177,190,110,98
178,206,110,122
179,194,-148,-152
180,-324,95,-156
181,-56,-150,60
182,196,104,84
183,194,110,100
184,208,106,98
185,-64,-154,-172
186,-326,105,-154
187,-62,-146,90
188,-64,-142,108
189,-44,124,107
190,-54,122,-161
191,190,112,96
192,-50,382,-149
193,206,122,-143
194,-74,115,-142
195,-328,373,103
196,212,374,99
197,-42,110,96
198,-50,-154,-138
199,-324,103,-146
200,-336,-141,94
201,-326,-161,102
202,190,-164,96
