Index,Gx,Gy,Gz
0,-164,625,-155
1,-468,973,-91
2,-208,279,-48
3,-264,425,-289
4,-456,-316,-62
5,-564,-266,-388
6,-1488,395,-288
7,-1706,697,30
8,-2090,1356,516
9,-3440,1127,954
10,-4194,1109,1457
11,-5250,629,1260
12,-5718,528,964
13,-6138,-80,216
14,-6498,-90,-46
15,-7386,409,-288
16,-8594,740,-420
17,-9864,1897,181
18,-10332,2214,539
19,-10952,2867,1066
20,-11488,3583,1895
21,-11990,2719,1902
22,-11908,2028,1809
23,-12342,-331,694
24,-12214,-1544,-426
25,-12790,-1595,-955
26,-13178,-1425,-567
27,-12720,-255,73
28,-11714,1567,705
29,-10554,3090,1532
30,-10604,5053,1555
31,-11106,5845,2282
32,-11636,5448,2583
33,-11802,2626,2378
34,-11462,1260,1569
35,-10830,479,213
36,-9898,-599,-808
37,-9634,-1486,-1486
38,-10620,-1123,-1965
39,-11490,-1511,-2772
40,-12276,-1064,-3244
41,-12310,-214,-3435
42,-12648,54,-2465
43,-12598,14,-1279
44,-12154,-360,-177
45,-11780,-21,906
46,-11232,432,1461
47,-11260,146,1503
48,-10952,210,703
49,-10854,291,-204
50,-9884,668,-708
51,-9606,1527,-1142
52,-8626,2176,-1265
53,-7436,1780,-1074
54,-6488,1048,-531
55,-4924,-450,-242
56,-3022,-713,42
57,-294,-1238,397
58,2286,-1858,157
59,5022,-2237,-305
60,8074,-2732,-685
61,10406,-2738,-1489
62,12498,-2004,-1855
63,14096,-1765,-2028
64,14888,-887,-1817
65,15742,-403,-1321
66,15790,-431,-807
67,15734,-626,-354
68,15588,-536,-51
69,15436,-1325,-84
70,16178,-744,-339
71,16336,-92,-592
72,16010,50,-723
73,15760,-385,-763
74,15292,-853,-1043
75,14702,-1403,-1795
76,14320,-1611,-1721
77,14456,-2170,-1822
78,14446,-1721,-1095
79,15154,-724,-99
80,14802,795,47
81,14182,1390,12
82,12356,476,-476
83,10884,-1184,-1481
84,9880,-3449,-2831
85,10330,-5096,-4010
86,11582,-5232,-4303
87,13050,-3938,-4099
88,14608,-470,-3481
89,15516,2928,-1206
90,15796,4775,26
91,14836,4719,1252
92,13552,3121,1338
93,12382,881,437
94,11990,-2544,-622
95,11944,-4954,-1899
96,12398,-5720,-2801
97,13294,-5400,-3113
98,13598,-2540,-2227
99,13482,856,-659
100,12876,2295,766
101,12358,2378,1248
102,11418,1392,1076
103,10534,553,153
104,10066,-498,-871
105,9218,-1673,-979
106,9268,-3229,-1120
107,9726,-3632,-1437
108,10106,-4030,-1824
109,9806,-3100,-1641
110,9602,-2637,-1973
111,9436,-2060,-1886
112,9456,-832,-1594
113,9326,1327,-1621
114,9708,3386,-1558
115,8720,5165,-1340
116,8466,6018,-615
117,6856,4997,-278
118,5578,3997,-222
119,3230,3601,-290
120,634,3913,-22
121,-1764,4300,170
122,-4798,4602,833
123,-7642,2798,307
124,-8942,148,-178
125,-9984,-1599,-1267
126,-10630,-3292,-1758
127,-11296,-3009,-1994
128,-11960,-618,-1227
129,-13370,2386,-99
130,-15464,4255,198
131,-17836,5671,1007
132,-19892,5499,420
133,-21168,4533,-152
134,-21790,1737,-791
135,-20866,-814,-273
136,-19432,-1168,933
137,-17828,-519,1580
138,-15926,1267,2051
139,-14858,2636,1876
140,-14090,4000,42
141,-14386,5111,-1389
142,-15352,4527,-2542
143,-16058,2807,-3068
144,-16778,609,-3981
145,-16232,-2505,-3922
146,-14504,-3618,-3107
147,-13270,-3886,-1582
148,-11854,-2232,-884
149,-11370,-624,190
150,-11788,632,697
151,-12556,1984,965
152,-14458,2951,730
153,-16138,3427,1119
154,-15930,1410,2313
155,-15544,-797,3168
156,-15752,-629,2685
157,-14574,-648,1810
158,-13546,-1327,1094
159,-12768,-1883,95
160,-11936,-2262,-93
161,-11970,-1540,-814
162,-12312,-18,-594
163,-13256,833,-690
164,-12862,884,-43
165,-13140,341,90
166,-11914,242,355
167,-11238,383,-74
168,-9456,-321,-152
169,-7872,-1120,-194
170,-7578,-2047,-166
171,-6930,-1598,-187
172,-6590,-240,-455
173,-6094,1992,-327
174,-5666,3164,35
175,-5790,3265,673
176,-4766,2556,145
177,-3456,736,-96
178,-1744,-43,-104
179,-402,-701,-529
180,1086,-1681,-582
181,2688,-1866,-1353
182,3504,-1769,-846
183,3886,-828,-145
184,3136,393,591
185,3140,885,610
186,3672,1013,642
187,4886,67,506
188,6390,-1298,-283
189,7982,-3116,-1166
190,9416,-4275,-2289
191,12142,-5478,-3340
192,13940,-4776,-3577
193,15292,-4007,-3711
194,15498,-2593,-3039
195,15836,-1636,-2404
196,15194,-459,-1136
197,14676,683,-810
198,14012,1349,-199
199,13874,575,-153
200,14440,-358,-108
201,15416,-784,-585
202,16830,-1396,-1281
